,	、
pgw	ぴぇい
pgz	ぴゃん
ph	ぷう
pi	ぴ
pj	ぷん
pk	ぴん
pl	ぽん
pn	ぱん
po	ぽ
pp	っ	p
pp	ぽう
pq	ぱい
pu	ぷ
pw	ぺい
pya	ぴゃ
pyd	ぴぇん
pye	ぴぇ
pyh	ぴゅう
pyi	ぴぃ
pyj	ぴゅん
pyl	ぴょん
pyn	ぴゃん
pyo	ぴょ
pyp	ぴょう
pyq	ぴゃい
pyu	ぴゅ
pyw	ぴぇい
pyz	ぴゃん
pz	ぱん
q	ん
qa	くぁ
qe	くぇ
qi	くぃ
qo	くぉ
qq	っ	q
qu	く
ra	ら
rd	れん
re	れ
rh	るう
ri	り
rj	るん
rk	りん
rl	ろん
ro	ろ
rp	ろう
rq	らい
rr	っ	r
ru	る
rw	れい
rya	りゃ
ryd	りぇん
rye	りぇ
ryh	りゅう
ryi	りぃ
ryj	りゅん
ryl	りょん
ryo	りょ
ryp	りょう
ryq	りゃい
ryu	りゅ
ryw	りぇい
ryz	りゃん
rz	らん
sa	さ
sd	せん
se	せ
sh	すう
sha	しゃ
she	しぇ
shi	し
sho	しょ
shu	しゅ
si	し
sj	すん
sk	しん
sl	そん
so	そ
sp	そう
sq	さい
ss	っ	s
su	す
sw	せい
swa	すぁ
swe	すぇ
swi	すぃ
swo	すぉ
swu	すぅ
sya	しゃ
syd	しぇん
sye	しぇ
syh	しゅう
syi	しぃ
syj	しゅん
syl	しょん
syo	しょ
syp	しょう
syq	しゃい
syu	しゅ
syw	しぇい
syz	しゃん
sz	さん
ta	た
td	てん
te	て
tgi	てぃ
tgj	とぅん
tgk	てぃん
tgu	とぅ
th	つう
tha	てゃ
the	てぇ
thi	てぃ
tho	てょ
thu	てゅ
ti	ち
tj	つん
tk	ちん
tl	とん
to	と
tp	とう
tq	たい
tsa	つぁ
tse	つぇ
tsi	つぃ
tso	つぉ
tsu	つ
tt	っ	t
tu	つ
tw	てい
twa	とぁ
twe	とぇ
twi	とぃ
two	とぉ
twu	とぅ
tya	ちゃ
tyd	ちぇん
tye	ちぇ
tyh	ちゅう
tyi	ちぃ
tyj	ちゅん
tyl	ちょん
tyo	ちょ
typ	ちょう
tyq	ちゃい
tyu	ちゅ
tyw	ちぇい
tyz	ちゃん
tz	たん
u	う
va	ゔぁ
vd	ヴぇん
ve	ゔぇ
vh	ヴう
vi	ゔぃ
vj	ヴん
vk	ヴぃん
vl	ヴぉん
vo	ゔぉ
vp	ヴぉー
vq	ヴぁい
vu	ゔ
vv	っ	v
vw	ヴぇい
vya	ゔゃ
vye	ゔぇ
vyi	ゔぃ
vyo	ゔょ
vyu	ゔゅ
vz	ヴぁん
wa	わ
wd	うぇん
we	うぇ
wha	うぁ
whe	うぇ
whi	うぃ
who	うぉ
whu	う
wi	うぃ
wk	うぃん
wl	うぉん
wn	わん
wo	を
wp	うぉー
wq	わい
wr	われ
wsl	うぉん
wso	うぉ
wsq	うぉー
wt	わた
wu	う
ww	っ	w
ww	うぇい
www	w	ww
wye	ゑ
wyi	ゐ
wz	わん
xa	ぁ
xd	しぇん
xe	ぇ
xh	しゅう
xi	ぃ
xj	しゅん
xka	ヵ
xke	ヶ
xl	しょん
xn	ん
xo	ぉ
xp	しょう
xq	しゃい
xtsu	っ
xtu	っ
xu	ぅ
xw	しぇい
xwa	ゎ
xx	っ	x
xya	ゃ
xye	ぇ
xyi	ぃ
xyo	ょ
xyu	ゅ
xz	しゃん
ya	や
ye	いぇ
yh	ゆう
yj	ゆん
yl	よん
yo	よ
yp	よう
yq	やい
yu	ゆ
yy	っ	y
yz	やん
z,	‥
z-	〜
z.	…
z/	・
z[	『
z]	』
za	ざ
zc	ざ
zd	ぜん
ze	ぜ
zf	ぜ
zh	ずう
zi	じ
zj	ずん
zk	じん
zl	ぞん
zn	ざん
zo	ぞ
zp	ぞう
zq	ざい
zr	ざる
zu	ず
zv	ざい
zw	ぜい
zwa	ずぁ
zwe	ずぇ
zwi	ずぃ
zwo	ずぉ
zwu	ずぅ
zx	ぜい
zya	じゃ
zyd	じぇん
zye	じぇ
zyh	じゅう
zyi	じぃ
zyj	じゅん
zyl	じょん
zyn	じゃん
zyo	じょ
zyp	じょう
zyq	じゃい
zyu	じゅ
zyw	じぇい
zyz	じゃん
zz	っ	z
~	〜
